range_start	range_stop	omega	kappa	window_size
1	11	0.00010	1.05816	10
2	12	0.00010	1.06653	10
3	13	0.01436	2.59211	10
4	14	0.00372	5.87131	10
5	15	0.01459	2.93149	10
6	16	0.00171	7.12977	10
7	17	0.00266	3.05283	10
8	18	0.00953	13.81709	10
9	19	0.01214	7.54423	10
10	20	0.01445	6.82287	10
11	21	0.00327	13.93004	10
12	22	0.00498	7.62734	10
13	23	0.00010	0.42601	10
14	24	0.00010	0.81883	10
15	25	0.00010	1.19879	10
16	26	0.00010	0.96591	10
17	27	0.00010	2.61550	10
18	28	0.00010	0.04958	10
19	29	0.00010	2.20375	10
20	30	0.00010	2.78681	10
21	31	0.00010	3.02492	10
22	32	0.00010	2.13302	10
23	33	0.00010	3.73623	10
24	34	0.00010	7.23404	10
25	35	0.00010	6.65714	10
26	36	0.00010	4.08978	10
27	37	0.00010	6.60141	10
28	38	0.00010	6.60141	10
29	39	0.00010	12.52287	10
30	40	0.00010	27.68702	10
31	41	0.00010	23.26849	10
32	42	0.00010	18.28774	10
33	43	0.00010	1.75240	10
34	44	0.00010	4.17026	10
35	45	0.00010	4.60105	10
36	46	0.00010	7.26659	10
37	47	0.00010	11.79564	10
38	48	0.00010	13.78962	10
39	49	0.00010	7.61192	10
40	50	0.00010	20.79719	10
41	51	0.00010	297.17746	10
42	52	0.00010	13.22886	10
43	53	0.00010	11.86936	10
44	54	0.00010	4.36805	10
45	55	0.00010	3.57758	10
46	56	0.00010	5.03067	10
47	57	0.00010	8.01861	10
48	58	0.00010	5.27871	10
49	59	0.00010	8.00726	10
50	60	0.00010	6.06677	10
51	61	0.00010	5.44313	10
52	62	0.00010	3.21221	10
53	63	0.00010	3.29730	10
54	64	0.00010	2.94774	10
55	65	0.00010	4.70149	10
56	66	0.00010	17.30709	10
57	67	0.00010	24.62683	10
58	68	0.00010	999.00000	10
59	69	0.00010	210.00455	10
60	70	0.00010	18.08363	10
61	71	0.00010	13.86881	10
62	72	0.00010	62.41906	10
63	73	0.00010	59.39319	10
64	74	0.03799	1.69436	10
65	75	0.04224	0.81662	10
66	76	0.05398	1.17373	10
67	77	0.06464	0.72560	10
68	78	0.04278	0.61715	10
69	79	0.04874	1.31921	10
70	80	0.04161	1.06401	10
71	81	0.04108	1.69176	10
72	82	0.03797	2.28536	10
73	83	0.04666	1.86280	10
74	84	0.00010	13.09580	10
75	85	0.00010	25.22949	10
76	86	0.00010	14.49943	10
77	87	0.00010	18.66554	10
78	88	0.00010	12.87655	10
79	89	0.00010	4.36168	10
80	90	0.00010	4.77675	10
81	91	0.00010	4.66228	10
82	92	0.00010	14.15007	10
83	93	0.00010	7.28502	10
84	94	0.00010	11.72920	10
85	95	0.00010	8.53735	10
86	96	0.00010	5.54041	10
87	97	0.00798	1.87165	10
88	98	0.03068	1.18098	10
89	99	0.02586	0.89094	10
90	100	0.02334	0.93068	10
91	101	0.02670	0.67541	10
92	102	0.03211	0.53368	10
93	103	0.02222	0.92747	10
94	104	0.03805	0.86974	10
95	105	0.04101	1.05504	10
96	106	0.04592	0.95978	10
97	107	0.01389	1.34559	10
98	108	0.00010	1.76154	10
99	109	0.00010	1.83516	10
100	110	0.00010	7.61865	10
101	111	0.00010	10.03427	10
102	112	0.00010	3.46296	10
103	113	0.00010	2.83913	10
104	114	0.00010	1.69712	10
105	115	0.00010	0.02176	10
106	116	0.00010	1.86428	10
107	117	0.00010	1.92018	10
108	118	0.00010	4.17290	10
109	119	0.00010	3.59345	10
110	120	0.00010	3.10840	10
111	121	0.00010	2.67968	10
112	122	0.00010	2.44606	10
113	123	0.00010	3.23870	10
114	124	0.00010	5.27167	10
115	125	0.00010	3.37605	10
116	126	0.00010	6.82992	10
117	127	0.00010	2.42290	10
118	128	0.00010	1.40605	10
119	129	0.00010	1.36079	10
120	130	0.00010	1.36507	10
121	131	0.00010	1.60456	10
122	132	0.00010	1.54724	10
123	133	0.00010	2.68549	10
124	134	0.00010	2.38830	10
125	135	0.00128	5.18916	10
126	136	0.00098	3.56397	10
127	137	0.00084	2.51541	10
128	138	0.00084	2.51541	10
129	139	0.00066	1.30644	10
130	140	0.00046	0.81616	10
131	141	0.00033	0.75884	10
132	142	0.00047	0.56519	10
133	143	0.00477	0.79480	10
134	144	0.00577	0.85475	10
135	145	0.08264	1.78384	10
136	146	0.03011	2.19319	10
137	147	0.03294	1.86288	10
138	148	0.05965	1.71442	10
139	149	0.05485	1.49367	10
140	150	0.06948	1.50992	10
141	151	0.05570	1.66788	10
142	152	0.03790	1.21470	10
143	153	0.02749	1.24026	10
144	154	0.01841	1.16304	10
145	155	0.00285	0.39761	10
146	156	0.00405	0.46662	10
147	157	0.01422	0.29534	10
148	158	0.00010	0.10380	10
149	159	0.00010	0.40987	10
150	160	0.00010	0.72218	10
151	161	0.00010	1.05992	10
152	162	0.00010	0.54681	10
153	163	0.00010	0.82033	10
154	164	0.00010	2.46314	10
155	165	0.00010	0.88641	10
156	166	0.00010	1.04873	10
157	167	0.00010	2.98948	10
158	168	0.00010	6.00340	10
159	169	0.00010	2.24262	10
160	170	0.00010	110.34802	10
161	171	0.00010	7.83885	10
162	172	0.01214	0.79664	10
163	173	0.01319	1.00833	10
164	174	0.00674	1.45966	10
165	175	0.04975	1.00462	10
166	176	0.00158	0.49861	10
167	177	0.00133	0.02201	10
168	178	0.01574	1.20743	10
169	179	0.01761	1.97037	10
170	180	0.02156	2.18823	10
171	181	0.00841	2.24591	10
172	182	0.00501	2.21216	10
173	183	0.00445	2.18456	10
174	184	0.00382	1.79958	10
175	185	0.03852	3.17530	10
176	186	0.00360	2.92387	10
177	187	0.06939	3.73274	10
178	188	0.05922	2.36334	10
179	189	0.01851	2.77518	10
180	190	0.03865	4.53737	10
181	191	0.00255	4.67301	10
182	192	0.00235	4.75630	10
183	193	0.00138	4.57631	10
184	194	0.00064	9.20666	10
185	195	0.00067	2.97559	10
186	196	0.00318	29.95541	10
187	197	0.00010	163.31571	10
188	198	0.00010	295.00764	10
189	199	0.02861	3.23759	10
190	200	0.00514	0.87101	10
191	201	0.01262	1.77173	10
192	202	0.01013	1.20173	10
193	203	0.02123	3.15814	10
194	204	0.01778	2.98853	10
195	205	0.02318	1.06946	10
196	206	0.02095	0.86060	10
197	207	0.02753	1.13071	10
198	208	0.03648	1.57117	10
199	209	0.00400	3.97455	10
200	210	0.00499	5.85727	10
201	211	0.00658	4.39337	10
202	212	0.01598	4.41107	10
203	213	0.00629	3.61220	10
204	214	0.00462	2.01144	10
205	215	0.00406	3.32294	10
206	216	0.00441	3.25931	10
207	217	0.01059	6.94081	10
208	218	0.00010	0.63297	10
209	219	0.00010	2.01975	10
210	220	0.00010	4.32779	10
211	221	0.00010	2.19380	10
212	222	0.00010	1.52688	10
213	223	0.00010	2.29322	10
214	224	0.00010	4.17967	10
215	225	0.00010	2.21157	10
216	226	0.00010	1.41677	10
217	227	0.00010	1.44465	10
218	228	0.00010	1.73758	10
219	229	0.00010	17.34343	10
220	230	0.00010	2.44499	10
221	231	0.00010	12.27856	10
222	232	0.00010	6.60948	10
223	233	0.00010	2.02350	10
224	234	0.00010	3.29375	10
225	235	0.00010	1.26426	10
226	236	0.00012	0.04859	10
227	237	0.00010	0.07028	10
228	238	0.00015	0.23860	10
229	239	0.00015	0.29917	10
230	240	0.00164	0.63114	10
231	241	0.00354	1.49325	10
232	242	0.00309	1.45233	10
233	243	0.00259	2.12370	10
234	244	0.00244	2.14952	10
235	245	0.00023	1.12455	10
236	246	0.00010	2.75301	10
237	247	0.00010	2.28633	10
238	248	0.00010	4.40232	10
