range_start	range_stop	omega	kappa	window_size
1	11	0.18879	7.02140	10
2	12	0.75853	27.14511	10
3	13	0.34130	9.70547	10
4	14	0.13793	7.16375	10
5	15	0.11772	10.22237	10
6	16	0.17180	9.46882	10
7	17	0.11678	15.64549	10
8	18	0.45874	63.29339	10
9	19	0.35858	72.35221	10
10	20	0.19152	33.70880	10
11	21	0.27125	25.13959	10
12	22	0.13095	2.38724	10
13	23	0.11792	2.08434	10
14	24	0.38060	5.81951	10
15	25	0.38954	8.45299	10
16	26	0.27826	8.40913	10
17	27	0.17096	3.74111	10
18	28	0.22853	5.11529	10
19	29	0.11296	2.70498	10
20	30	0.13248	5.11542	10
21	31	0.02038	0.93435	10
22	32	0.06624	1.18627	10
23	33	0.08481	1.84477	10
24	34	0.10686	0.56889	10
25	35	0.17005	0.79373	10
26	36	0.15815	1.16234	10
27	37	0.13303	1.24336	10
28	38	0.08434	0.86400	10
29	39	0.07441	1.29633	10
30	40	0.10203	2.00476	10
31	41	0.15643	3.25467	10
32	42	0.16534	3.30924	10
33	43	0.17936	3.10410	10
34	44	0.18689	5.25783	10
35	45	0.21319	4.23953	10
36	46	0.25254	3.85372	10
37	47	0.19856	2.65040	10
38	48	0.14957	3.17015	10
39	49	0.13769	1.98651	10
40	50	0.09801	1.17178	10
41	51	0.09151	1.27278	10
42	52	0.04530	1.82137	10
43	53	0.04184	1.09789	10
44	54	0.01913	1.27524	10
45	55	0.03587	1.25191	10
46	56	0.01547	1.09572	10
47	57	0.00230	0.67744	10
48	58	0.02692	1.43551	10
49	59	0.02910	1.43903	10
50	60	0.03520	1.80037	10
51	61	0.04571	1.96018	10
52	62	0.04234	1.78994	10
53	63	0.07865	1.88405	10
54	64	0.11686	2.00762	10
55	65	0.11538	2.12198	10
56	66	0.14007	1.81027	10
57	67	0.10252	1.95126	10
58	68	0.14305	1.24801	10
59	69	0.19131	1.68991	10
60	70	0.14328	2.07355	10
61	71	0.14309	2.13419	10
62	72	0.16933	2.48282	10
63	73	0.15217	2.34784	10
64	74	0.07687	1.05036	10
65	75	0.10781	1.76139	10
66	76	0.03260	3.54761	10
67	77	0.21554	11.95909	10
68	78	0.04989	26.52348	10
69	79	8.99805	64.53824	10
70	80	0.15516	28.60093	10
71	81	0.10316	22.15243	10
72	82	0.19509	34.66642	10
73	83	6.20285	27.98572	10
74	84	999.00000	16.02164	10
75	85	0.04692	0.00010	10
76	86	0.02388	0.00010	10
77	87	0.02868	1.17361	10
78	88	0.02171	0.44336	10
79	89	0.04402	1.38293	10
80	90	0.03965	0.73788	10
81	91	0.07487	0.99627	10
82	92	0.09478	1.16110	10
83	93	0.06680	0.53869	10
84	94	0.05975	0.61340	10
85	95	0.02550	0.63059	10
86	96	0.07626	1.18645	10
87	97	0.02357	2.02770	10
88	98	0.02879	2.41018	10
89	99	0.01958	2.66407	10
90	100	0.01685	3.16761	10
91	101	0.01030	2.58992	10
92	102	0.00937	1.93302	10
93	103	0.00884	3.14424	10
94	104	0.01028	3.80629	10
95	105	0.01890	2.48225	10
96	106	0.02138	2.02962	10
97	107	0.07488	1.67811	10
98	108	0.08281	1.58689	10
99	109	0.09402	1.23123	10
100	110	0.09919	1.60889	10
101	111	0.02667	0.61711	10
102	112	0.15386	0.96911	10
103	113	0.31499	1.98710	10
104	114	0.28040	3.72943	10
105	115	0.18499	3.47571	10
106	116	0.20888	2.19555	10
107	117	0.14414	2.30362	10
108	118	0.12700	2.53139	10
109	119	0.16808	2.15412	10
110	120	0.17681	1.88891	10
111	121	0.10101	3.64594	10
112	122	0.05963	3.84316	10
113	123	0.08151	1.68933	10
114	124	0.08140	0.96667	10
115	125	0.16851	1.49802	10
116	126	0.17764	1.38553	10
117	127	0.17742	1.07915	10
118	128	0.16419	1.15427	10
119	129	0.08662	0.89526	10
120	130	0.17725	0.97135	10
121	131	0.15608	0.70689	10
122	132	0.16533	0.85548	10
123	133	0.20576	1.44321	10
124	134	0.06278	1.95156	10
125	135	0.10307	0.80417	10
126	136	0.20094	0.73092	10
127	137	0.17885	0.72399	10
128	138	0.15985	0.65293	10
129	139	0.23234	1.08995	10
130	140	0.39482	1.50614	10
