range_start	range_stop	omega	kappa	window_size
1	11	4.04833	5.95356	10
2	12	1.91517	4.68669	10
3	13	2.31729	7.35154	10
4	14	2.96346	7.29057	10
5	15	1.73208	6.47959	10
6	16	2.68488	6.08930	10
7	17	3.46387	8.27532	10
8	18	1.64922	9.36149	10
9	19	1.61609	8.76705	10
10	20	1.10930	11.35374	10
11	21	1.20344	3.53961	10
12	22	1.15945	74.09035	10
13	23	0.78016	4.44596	10
14	24	0.37528	4.34976	10
15	25	0.25411	7.06162	10
16	26	0.33008	3.20341	10
17	27	0.38916	2.68994	10
18	28	0.77498	3.88106	10
19	29	0.92556	3.15997	10
20	30	0.76001	3.27814	10
21	31	131.99668	10.94687	10
22	32	170.82824	7.71341	10
23	33	0.01274	0.82559	10
24	34	0.13428	2.49458	10
25	35	0.23401	1.51826	10
26	36	0.00376	4.09862	10
27	37	nan	nan	10
28	38	nan	nan	10
29	39	nan	nan	10
30	40	0.19196	9.55495	10
31	41	1.63554	12.10351	10
32	42	1.98505	9.39159	10
33	43	1.62664	12.68306	10
34	44	2.61194	13.69133	10
35	45	2.01855	20.37721	10
36	46	2.35366	34.77732	10
37	47	1.08585	22.75095	10
38	48	4.93445	36.82302	10
39	49	2.82923	33.34817	10
40	50	3.25180	25.07477	10
41	51	4.07813	37.60434	10
42	52	7.19472	16.11842	10
43	53	0.84285	26.43844	10
44	54	0.85184	81.07338	10
45	55	2.04622	2.91892	10
46	56	2.20527	2.21240	10
47	57	2.68638	2.62957	10
48	58	1.02738	1.66964	10
49	59	0.45708	0.54097	10
50	60	0.36386	0.40657	10
51	61	0.41532	0.39202	10
52	62	1.25474	1.03013	10
53	63	1.32863	0.93322	10
54	64	1.29359	1.15810	10
55	65	0.40922	2.78318	10
56	66	0.39222	3.17603	10
57	67	0.39738	6.79062	10
58	68	7.91641	3.67555	10
59	69	18.83566	9.58627	10
60	70	6.58713	10.09982	10
61	71	1.48677	8.12834	10
62	72	0.66333	41.30923	10
63	73	0.54565	31.11118	10
64	74	0.46717	23.43645	10
65	75	0.09310	9.27916	10
66	76	0.10391	7.08455	10
67	77	0.03409	2.20764	10
68	78	0.02808	1.69456	10
69	79	0.02576	0.48269	10
70	80	0.01822	0.22167	10
71	81	0.02483	0.19961	10
72	82	0.02981	0.11124	10
73	83	0.04487	0.00010	10
74	84	0.04810	0.00010	10
75	85	0.09917	0.00010	10
76	86	0.15424	0.00010	10
77	87	1.98658	0.00010	10
78	88	1.65967	0.00010	10
79	89	1.21419	0.00010	10
80	90	1.16765	0.00010	10
81	91	1.20767	0.00010	10
82	92	0.97063	0.00010	10
83	93	0.84713	0.00010	10
84	94	1.26581	0.00741	10
85	95	0.10647	1.83490	10
86	96	999.00000	22.59073	10
87	97	0.68819	1.07907	10
88	98	999.00000	0.89235	10
89	99	23.92503	4.84342	10
90	100	0.44443	5.81188	10
91	101	0.25886	3.19211	10
92	102	0.73816	15.05100	10
93	103	0.82753	30.37489	10
94	104	0.62680	1.44807	10
95	105	0.05675	3.78592	10
96	106	0.10962	3.76638	10
97	107	0.06266	1.79554	10
98	108	0.12499	1.54131	10
99	109	0.05869	1.75804	10
100	110	0.03683	1.76900	10
101	111	0.03525	1.87324	10
102	112	0.01426	3.69253	10
103	113	0.02199	1.88024	10
104	114	0.03519	2.18951	10
105	115	0.03738	2.51666	10
106	116	0.01952	1.36924	10
107	117	0.03521	1.36234	10
108	118	0.07494	0.92750	10
109	119	0.11375	0.95193	10
110	120	0.10054	0.92869	10
111	121	0.05258	2.90872	10
112	122	0.05831	4.12542	10
113	123	0.15923	2.74601	10
114	124	0.13000	1.53706	10
115	125	0.21282	1.97512	10
116	126	0.34947	1.06076	10
117	127	0.37918	1.80342	10
118	128	0.36670	2.80389	10
119	129	0.33626	2.28150	10
120	130	0.45564	2.25147	10
121	131	0.47065	3.22373	10
122	132	0.50233	2.96345	10
123	133	0.50542	2.77897	10
124	134	0.35420	2.67410	10
125	135	0.20344	0.05525	10
126	136	0.10059	0.06144	10
127	137	0.14201	0.08237	10
128	138	0.78366	0.75326	10
129	139	0.01898	0.26910	10
130	140	0.02605	0.40726	10
131	141	0.01869	0.16884	10
132	142	0.00958	0.55583	10
133	143	0.01638	1.24193	10
134	144	0.02248	2.21913	10
135	145	0.02005	3.25835	10
136	146	0.04770	1.60149	10
137	147	0.03326	0.00010	10
138	148	0.09418	1.12725	10
139	149	0.13887	1.95275	10
140	150	0.01535	0.08584	10
141	151	0.02031	0.17522	10
142	152	1.09763	0.91930	10
143	153	1.28278	0.84185	10
144	154	2.05055	1.42279	10
145	155	2.44040	0.93130	10
146	156	1.11532	1.49908	10
147	157	1.16078	2.56295	10
148	158	1.41929	1.67389	10
149	159	2.69997	1.26863	10
150	160	2.85952	1.40372	10
151	161	2.52485	0.87063	10
