range_start	range_stop	omega	kappa	window_size
1	11	0.00010	0.59191	10
2	12	0.00010	0.59446	10
3	13	0.05129	1.73630	10
4	14	0.02849	3.29605	10
5	15	0.03699	3.68516	10
6	16	0.01106	4.47251	10
7	17	0.01328	2.40947	10
8	18	0.05163	5.24117	10
9	19	0.05002	4.63086	10
10	20	0.07472	3.71861	10
11	21	0.00231	10.87277	10
12	22	0.00081	56.21299	10
13	23	0.00010	0.04310	10
14	24	0.00055	0.04439	10
15	25	0.00024	0.02409	10
16	26	0.00018	0.02258	10
17	27	0.00119	1.61681	10
18	28	0.00136	0.70870	10
19	29	0.00246	1.36298	10
20	30	0.00441	1.74484	10
21	31	0.00549	2.42593	10
22	32	0.00523	1.50027	10
23	33	0.00584	1.56041	10
24	34	0.00010	2.65309	10
25	35	0.00010	1.30040	10
26	36	0.00010	1.02233	10
27	37	0.00010	2.44239	10
28	38	0.00010	2.67794	10
29	39	0.00010	4.72951	10
30	40	0.00010	6.70089	10
31	41	0.00010	7.28195	10
32	42	0.00010	8.69074	10
33	43	0.00010	4.02615	10
34	44	0.00010	9.67579	10
35	45	0.00010	14.65491	10
36	46	0.00010	8.39004	10
37	47	0.00010	9.44520	10
38	48	0.00010	17.24044	10
39	49	0.00010	5.83786	10
40	50	0.00010	4.71183	10
41	51	0.00010	14.48661	10
42	52	0.00010	1.50762	10
43	53	0.00010	1.92161	10
44	54	0.00010	0.94972	10
45	55	0.00010	0.57841	10
46	56	0.00010	1.69571	10
47	57	0.00010	1.43543	10
48	58	0.00010	0.93954	10
49	59	0.00010	1.96018	10
50	60	0.00010	2.92696	10
51	61	0.00010	4.55151	10
52	62	0.00010	4.95895	10
53	63	0.00010	6.09015	10
54	64	0.00010	4.73389	10
55	65	0.00010	8.23359	10
56	66	0.00010	142.13070	10
57	67	0.00010	122.44934	10
58	68	0.00010	150.92772	10
59	69	0.00010	19.31730	10
60	70	0.00010	12.45562	10
61	71	0.00010	6.77796	10
62	72	0.00010	37.85107	10
63	73	0.00010	28.31145	10
64	74	0.01348	1.85704	10
65	75	0.01682	0.75470	10
66	76	0.03297	0.92337	10
67	77	0.03841	0.86580	10
68	78	0.03775	1.00921	10
69	79	0.03991	1.45929	10
70	80	0.05006	1.71229	10
71	81	0.05051	2.10274	10
72	82	0.05441	2.35867	10
73	83	0.07807	1.60245	10
74	84	0.03813	2.66079	10
75	85	0.02662	3.50786	10
76	86	0.01112	7.21056	10
77	87	0.00430	6.11895	10
78	88	0.00645	2.06495	10
79	89	0.00963	1.32757	10
80	90	0.00648	1.10445	10
81	91	0.00835	1.49909	10
82	92	0.01087	1.73522	10
83	93	0.00010	2.44289	10
84	94	0.00010	3.15494	10
85	95	0.00010	3.68355	10
86	96	0.00010	2.29457	10
87	97	0.01267	1.54087	10
88	98	0.02674	1.44338	10
89	99	0.02312	2.09519	10
90	100	0.01565	2.36526	10
91	101	0.02069	1.38559	10
92	102	0.01687	1.64332	10
93	103	0.01482	2.08003	10
94	104	0.01555	1.45212	10
95	105	0.01725	1.74886	10
96	106	0.02020	1.37937	10
97	107	0.00740	2.72398	10
98	108	0.00010	2.60434	10
99	109	0.00010	2.65046	10
100	110	0.00010	3.29100	10
101	111	0.00010	4.13672	10
102	112	0.00010	2.33654	10
103	113	0.00010	2.88555	10
104	114	0.00010	3.24906	10
105	115	0.00010	1.85704	10
106	116	0.00010	4.13609	10
107	117	0.00010	3.85526	10
108	118	0.00010	4.08108	10
109	119	0.00010	4.38229	10
110	120	0.00010	3.11424	10
111	121	0.00010	3.50154	10
112	122	0.00010	3.10790	10
113	123	0.00010	3.28926	10
114	124	0.00010	6.15898	10
115	125	0.00010	5.03872	10
116	126	0.00010	3.76291	10
117	127	0.00010	3.57323	10
118	128	0.00010	1.88211	10
119	129	0.00010	2.13297	10
120	130	0.00010	5.63613	10
121	131	0.00010	7.69046	10
122	132	0.00010	10.57763	10
123	133	0.00010	38.75871	10
124	134	0.00010	28.68073	10
125	135	0.00031	586.87846	10
126	136	0.00036	490.65904	10
127	137	0.00046	18.20255	10
128	138	0.00046	18.20255	10
129	139	0.00047	18.32070	10
130	140	0.00035	11.80933	10
131	141	0.00027	18.13257	10
132	142	0.00028	3.81808	10
133	143	0.00034	4.08876	10
134	144	0.02093	2.05386	10
135	145	0.04310	7.10104	10
136	146	0.02561	14.30864	10
137	147	0.03746	10.28016	10
138	148	0.04605	11.11003	10
139	149	0.04568	10.11170	10
140	150	0.04679	4.29047	10
141	151	0.04033	3.11611	10
142	152	0.02007	0.84101	10
143	153	0.01673	0.31597	10
144	154	0.01002	0.15299	10
145	155	0.00010	0.00530	10
146	156	0.00010	0.03979	10
147	157	0.00010	0.00335	10
148	158	0.00110	0.00703	10
149	159	0.00127	0.01653	10
150	160	0.00195	0.06076	10
151	161	0.00252	0.09396	10
152	162	0.00257	0.07644	10
153	163	0.00412	0.16262	10
154	164	0.00222	4.03821	10
155	165	0.00087	2.58544	10
156	166	0.00711	4.84812	10
157	167	0.01298	3.82798	10
158	168	0.00010	5.96685	10
159	169	0.00010	46.71582	10
160	170	0.00010	173.45258	10
161	171	0.00010	140.24288	10
162	172	0.00058	2.88605	10
163	173	0.00207	15.61059	10
164	174	0.00395	5.14695	10
165	175	0.04982	2.63800	10
166	176	0.00395	2.37969	10
167	177	0.00827	3.43465	10
168	178	0.00713	3.06330	10
169	179	0.00947	3.57729	10
170	180	0.01061	1.57105	10
171	181	0.00679	1.57953	10
172	182	0.01628	2.78556	10
173	183	0.02222	4.42842	10
174	184	0.00402	3.17074	10
175	185	0.00609	4.25869	10
176	186	0.00409	5.31817	10
177	187	0.00698	4.02670	10
178	188	0.00786	2.48074	10
179	189	0.00687	3.02044	10
180	190	0.00872	3.82287	10
181	191	0.00433	16.24157	10
182	192	0.01464	8.65669	10
183	193	0.00093	6.27381	10
184	194	0.00051	6.68113	10
185	195	0.00062	14.52712	10
186	196	0.01432	8.11728	10
187	197	0.00010	3.72696	10
188	198	0.00010	22.20542	10
189	199	0.03482	4.62607	10
190	200	0.03867	4.43944	10
191	201	0.03598	3.81728	10
192	202	0.05246	4.79562	10
193	203	0.06037	6.07572	10
194	204	0.05317	8.65220	10
195	205	0.04782	4.90447	10
196	206	0.06367	5.02582	10
197	207	0.09282	5.22528	10
198	208	0.09663	4.90972	10
199	209	0.02181	8.37504	10
200	210	0.01446	12.17614	10
201	211	0.02772	11.74135	10
202	212	0.00820	15.90611	10
203	213	0.02238	4.33613	10
204	214	0.02391	2.11783	10
205	215	0.00883	3.44705	10
206	216	0.01005	2.83999	10
207	217	0.00021	100.60223	10
208	218	0.00010	2.56249	10
209	219	0.00010	2.08365	10
210	220	0.00010	1.99229	10
211	221	0.00010	1.51608	10
212	222	0.00010	1.10438	10
213	223	0.00010	1.23835	10
214	224	0.00010	1.50055	10
215	225	0.00010	1.13210	10
216	226	0.00010	0.92280	10
217	227	0.00010	1.23762	10
218	228	0.00010	3.10477	10
219	229	0.00010	34.87135	10
220	230	0.00010	14.57460	10
221	231	0.00010	4.47613	10
222	232	0.00010	24.28588	10
223	233	0.00010	29.12482	10
224	234	0.00010	43.47927	10
225	235	0.00010	4.21087	10
226	236	0.00010	0.03955	10
227	237	0.00011	0.07994	10
228	238	0.00010	0.10096	10
229	239	0.00011	0.14223	10
230	240	0.00010	0.08959	10
231	241	0.00024	0.59876	10
232	242	0.00027	0.75176	10
233	243	0.00032	0.93684	10
234	244	0.00024	0.46160	10
235	245	0.00033	0.92919	10
236	246	0.00010	19.47290	10
237	247	0.00010	16.01812	10
238	248	0.00010	3.16840	10
239	249	0.00010	2.02085	10
240	250	0.00010	2.36418	10
241	251	0.00010	3.10954	10
242	252	0.00010	0.48385	10
243	253	0.00010	0.59346	10
244	254	0.00010	0.64302	10
245	255	0.00010	0.32852	10
246	256	0.00916	1.02613	10
247	257	0.00785	1.20644	10
248	258	0.01146	4.15415	10
249	259	0.00809	6.35126	10
250	260	0.00489	8.06951	10
251	261	0.00623	9.38455	10
252	262	0.00505	11.39696	10
253	263	0.01052	10.14795	10
254	264	0.00974	14.11412	10
255	265	0.00938	15.20508	10
256	266	0.00010	246.32909	10
257	267	0.00010	233.45784	10
258	268	0.00010	152.91007	10
259	269	0.00010	180.74283	10
260	270	0.00010	118.98175	10
261	271	0.00010	8.18677	10
262	272	0.01024	4.77566	10
263	273	0.01311	2.86279	10
264	274	0.01263	2.55481	10
265	275	0.01260	1.73255	10
266	276	0.01106	2.92844	10
267	277	0.01005	1.13052	10
268	278	0.01070	5.00178	10
269	279	0.01048	2.56350	10
270	280	0.00852	0.60306	10
271	281	0.01165	1.57055	10
272	282	0.00010	2.14182	10
273	283	0.00010	1.74875	10
274	284	0.00010	4.22274	10
275	285	0.00010	4.90250	10
276	286	0.00010	6.42151	10
277	287	0.00010	5.01155	10
278	288	0.00010	5.93044	10
279	289	0.00010	5.33502	10
280	290	0.00010	152.66656	10
281	291	0.00010	111.39092	10
282	292	0.00010	18.93983	10
283	293	0.00010	9.45230	10
284	294	0.00010	6.25620	10
285	295	0.00010	7.55330	10
286	296	0.00010	2.00836	10
287	297	0.00010	0.95627	10
288	298	0.00010	0.67999	10
289	299	0.00010	0.93809	10
290	300	0.00010	1.95620	10
291	301	0.00010	18.80023	10
292	302	0.00010	2.00084	10
293	303	0.00010	3.06824	10
294	304	0.00010	4.27420	10
295	305	0.00010	7.70628	10
296	306	0.00010	999.00000	10
297	307	0.00010	999.00000	10
298	308	0.00935	15.73295	10
299	309	0.01414	10.26687	10
300	310	0.01637	4.98398	10
301	311	0.00953	4.58933	10
302	312	0.00737	9.01277	10
303	313	0.00744	10.42935	10
304	314	0.00586	13.69728	10
305	315	0.00525	12.67045	10
306	316	0.00451	11.49508	10
307	317	0.00587	8.27432	10
308	318	0.00010	3.76635	10
309	319	0.00010	4.78279	10
310	320	0.00010	1.18733	10
311	321	0.00010	1.04815	10
312	322	0.00010	0.94466	10
313	323	0.00010	1.32476	10
314	324	0.00010	1.35096	10
315	325	0.00010	2.22788	10
316	326	0.00010	3.78201	10
317	327	0.00010	3.36344	10
318	328	0.02177	0.90130	10
319	329	0.02249	0.59241	10
320	330	0.01945	0.35029	10
321	331	0.01147	0.24102	10
322	332	0.01957	0.80823	10
323	333	0.01846	1.01463	10
324	334	0.01711	1.15097	10
325	335	0.01708	1.14639	10
326	336	0.03009	2.23139	10
327	337	0.02562	1.47424	10
328	338	0.00010	1.73408	10
329	339	0.00010	2.46105	10
330	340	0.00010	3.52612	10
331	341	0.00010	57.17185	10
332	342	0.00010	4.75533	10
333	343	0.00010	106.96587	10
334	344	0.00010	69.12721	10
335	345	0.00010	69.25791	10
336	346	0.00010	16.49869	10
337	347	0.00010	0.86746	10
338	348	0.00010	0.99999	10
339	349	0.00010	2.99876	10
340	350	0.00010	8.00182	10
341	351	0.00010	2.51828	10
342	352	0.00010	2.02285	10
343	353	0.00010	1.08247	10
