range_start	range_stop	omega	kappa	window_size
1	11	0.00010	2.23997	10
2	12	0.00010	5.83381	10
3	13	0.00010	19.58540	10
4	14	0.00010	4.49961	10
5	15	0.00010	36.43298	10
6	16	0.00069	27.15883	10
7	17	0.00093	10.90695	10
8	18	0.00121	2.80618	10
9	19	0.05787	7.77536	10
10	20	0.12733	19.82317	10
11	21	0.09629	8.49443	10
12	22	0.24225	2.96190	10
13	23	0.28833	2.15489	10
14	24	0.70646	1.05876	10
15	25	1.26026	0.61022	10
16	26	0.73091	0.33980	10
17	27	0.49405	0.41258	10
18	28	0.24396	0.80826	10
19	29	0.16500	0.76477	10
20	30	0.08031	2.58548	10
21	31	0.05609	3.37224	10
22	32	0.04423	1.58194	10
23	33	0.04543	1.47901	10
24	34	0.01839	3.41086	10
25	35	0.01276	3.46204	10
26	36	0.02686	4.66641	10
27	37	0.02840	4.66937	10
28	38	0.05659	3.63162	10
29	39	0.03766	6.85438	10
30	40	0.08388	3.07928	10
31	41	0.05562	3.01511	10
32	42	0.01952	3.87089	10
33	43	0.09323	2.14977	10
34	44	0.06274	1.34208	10
35	45	0.04514	1.27761	10
36	46	0.03418	1.06611	10
37	47	0.01787	0.67493	10
38	48	0.00021	0.16030	10
39	49	0.00330	0.45819	10
40	50	0.00010	0.77167	10
41	51	0.00010	0.65496	10
42	52	0.00010	1.43034	10
43	53	0.00010	2.08913	10
44	54	0.00010	4.31682	10
45	55	0.00010	5.62485	10
46	56	0.00010	5.67303	10
47	57	0.00010	6.85707	10
48	58	0.00010	3.51694	10
49	59	0.00010	0.73085	10
50	60	0.00010	1.12830	10
51	61	0.00097	0.84400	10
52	62	0.00074	0.80348	10
53	63	0.00368	1.40262	10
54	64	0.00090	2.23976	10
55	65	0.00220	4.00933	10
56	66	0.01025	1.26466	10
57	67	0.00788	0.98259	10
58	68	0.00830	1.27442	10
59	69	0.02041	1.80428	10
60	70	0.01762	0.95964	10
61	71	0.00584	1.18615	10
62	72	0.01228	1.31958	10
63	73	0.00628	1.83591	10
64	74	0.00751	4.05058	10
65	75	0.00773	5.16210	10
66	76	0.00650	6.49943	10
67	77	0.00029	222.52101	10
68	78	0.00487	10.04632	10
69	79	0.00149	25.76031	10
70	80	0.00241	31.96014	10
71	81	0.00245	42.19807	10
72	82	0.00010	218.57750	10
73	83	0.00010	155.98154	10
74	84	0.00010	1.56919	10
75	85	0.00012	0.94673	10
76	86	0.00012	0.54533	10
77	87	0.00019	0.25294	10
78	88	0.00020	0.97800	10
79	89	0.00021	0.93967	10
80	90	0.00014	0.68188	10
81	91	0.00014	0.61915	10
82	92	0.00019	1.46793	10
83	93	0.00017	0.83883	10
84	94	0.00739	1.27443	10
85	95	0.00010	3.12676	10
86	96	0.00010	1.01841	10
87	97	0.00010	1.71918	10
88	98	0.00010	0.37449	10
89	99	0.00010	1.41205	10
90	100	0.00010	5.20190	10
91	101	0.00010	1.95920	10
92	102	0.00129	0.63146	10
93	103	0.00106	0.68596	10
94	104	0.00121	0.52481	10
95	105	0.00105	0.73009	10
96	106	0.00160	1.55786	10
97	107	0.00149	6.91788	10
98	108	0.00118	7.00921	10
99	109	0.01988	2.80741	10
100	110	0.02622	1.41469	10
101	111	0.00098	1.44338	10
102	112	0.01057	2.06616	10
103	113	0.01071	2.35295	10
104	114	0.01122	2.19739	10
105	115	0.00058	1.28383	10
106	116	0.03222	2.86689	10
107	117	0.00049	0.14952	10
108	118	0.00172	0.13550	10
109	119	0.00040	0.12259	10
110	120	0.00193	0.12521	10
111	121	0.00010	0.63653	10
112	122	0.00010	0.36602	10
113	123	0.00010	0.40284	10
114	124	0.00010	0.31361	10
115	125	0.00010	0.67054	10
116	126	0.00010	0.26423	10
117	127	0.00010	1.43005	10
118	128	0.00010	2.10908	10
119	129	0.00010	3.23087	10
120	130	0.00010	49.38588	10
