range_start	range_stop	omega	kappa	window_size
1	11	0.29346	2.64650	10
2	12	0.42582	3.83884	10
3	13	0.30080	2.75990	10
4	14	0.21809	1.97449	10
5	15	0.20668	1.88991	10
6	16	0.04107	2.23069	10
7	17	0.54287	30.46505	10
8	18	5.04090	39.08753	10
9	19	8.28052	29.75587	10
10	20	11.29861	33.49015	10
11	21	3.80992	14.65314	10
12	22	2.64278	13.52826	10
13	23	1.13331	11.76786	10
14	24	1.67202	9.81560	10
15	25	1.96567	3.78443	10
16	26	7.49455	2.12568	10
17	27	1.72551	0.64584	10
18	28	0.26948	0.00010	10
19	29	0.83268	0.30016	10
20	30	9.96720	0.00010	10
21	31	1.08196	0.00010	10
22	32	1.33318	0.00010	10
23	33	1.20851	0.00010	10
24	34	1.69679	0.00010	10
25	35	0.03726	1.54440	10
26	36	0.03565	1.48698	10
27	37	0.03777	2.21929	10
28	38	0.11997	2.48235	10
29	39	0.13684	4.25788	10
30	40	0.05322	2.18386	10
31	41	2.89581	0.08241	10
32	42	0.33514	2.26264	10
33	43	0.49568	0.00010	10
34	44	0.17824	0.20903	10
35	45	0.13964	0.15169	10
36	46	0.12729	0.18961	10
37	47	0.32265	0.29505	10
38	48	0.47237	0.23051	10
39	49	0.55780	0.16626	10
40	50	0.89779	0.11222	10
41	51	0.93106	0.16553	10
42	52	1.58992	0.09129	10
43	53	0.85979	0.23733	10
44	54	1.86830	0.55387	10
45	55	1.85100	0.07546	10
46	56	1.68786	1.76646	10
47	57	1.12416	1.61163	10
48	58	1.02758	2.24786	10
49	59	0.77079	3.75592	10
50	60	0.54687	2.33395	10
51	61	0.93403	2.02863	10
52	62	2.09006	2.74684	10
53	63	1.10957	2.34996	10
54	64	1.01808	3.11000	10
55	65	1.15612	5.66303	10
56	66	1.27190	11.81041	10
57	67	1.08841	21.47469	10
58	68	2.06425	3.54932	10
59	69	2.47930	4.20629	10
60	70	1.87614	3.97046	10
61	71	nan	nan	10
62	72	0.82106	2.31431	10
63	73	0.50916	1.71999	10
64	74	0.36277	1.51825	10
65	75	0.36455	1.52849	10
66	76	0.21869	1.31585	10
67	77	0.14722	1.70331	10
68	78	0.12491	1.21976	10
69	79	0.16437	1.48545	10
70	80	0.17514	1.81999	10
71	81	0.06672	0.92664	10
72	82	0.01598	0.59837	10
73	83	0.04624	20.72000	10
74	84	0.05201	11.56759	10
75	85	0.04906	10.18916	10
76	86	0.04969	10.30585	10
77	87	0.04475	11.11592	10
78	88	0.02614	14.16724	10
79	89	0.00963	4.13757	10
80	90	0.18326	3.70507	10
81	91	0.67701	0.88805	10
82	92	0.75267	0.88637	10
83	93	0.89448	1.45528	10
84	94	0.86134	2.35339	10
85	95	0.92358	2.35980	10
86	96	0.79293	1.91647	10
87	97	0.54107	0.50932	10
88	98	2.70181	2.53022	10
89	99	1.76767	1.90475	10
90	100	1.39130	3.00134	10
91	101	1.70941	5.39090	10
92	102	1.49401	6.31224	10
93	103	3.14329	13.91655	10
94	104	999.00000	27.25245	10
95	105	3.02863	14.69531	10
96	106	1.24686	11.29748	10
97	107	1.26719	5.79482	10
98	108	0.86838	4.41089	10
99	109	0.32606	5.12152	10
100	110	1.30054	1.32736	10
101	111	0.79029	0.04003	10
102	112	0.98939	0.02673	10
103	113	0.26228	0.01266	10
104	114	0.32033	0.04991	10
105	115	0.11242	0.70558	10
106	116	0.08579	0.87269	10
107	117	0.07865	1.04219	10
108	118	0.06997	0.50126	10
109	119	0.05910	0.69366	10
110	120	0.04776	1.59409	10
111	121	0.04807	0.94789	10
112	122	0.03722	0.44078	10
113	123	0.01979	1.18344	10
114	124	0.01795	1.24512	10
115	125	0.05076	2.30348	10
116	126	0.07277	1.88931	10
117	127	0.05814	0.91991	10
118	128	0.08022	4.27438	10
119	129	0.10346	5.20828	10
120	130	0.06599	3.11153	10
121	131	0.08719	1.21255	10
122	132	0.18100	1.90032	10
123	133	0.77554	2.01900	10
124	134	0.75022	2.64349	10
125	135	0.64961	2.58324	10
126	136	0.45778	2.92774	10
127	137	0.83885	2.46055	10
128	138	1.27022	2.95095	10
129	139	1.41058	3.05950	10
