range_start	range_stop	omega	kappa	window_size
1	11	0.28445	2.27226	10
2	12	0.25783	1.64466	10
3	13	0.15375	0.37467	10
4	14	0.38829	0.49443	10
5	15	0.33902	0.89905	10
6	16	0.41875	0.95070	10
7	17	0.26556	0.81339	10
8	18	0.22795	0.94769	10
9	19	0.28032	1.86932	10
10	20	0.05782	4.40940	10
11	21	0.04554	1.18517	10
12	22	0.05477	2.09519	10
13	23	0.27205	15.07480	10
14	24	0.52376	24.35882	10
15	25	0.28596	17.83783	10
16	26	0.13550	2.31566	10
17	27	0.06505	2.16751	10
18	28	0.02359	1.77649	10
19	29	0.02966	1.56506	10
20	30	0.01649	1.28236	10
21	31	0.01484	1.77461	10
22	32	0.15444	1.92476	10
23	33	0.17361	1.15095	10
24	34	0.17076	0.86948	10
25	35	0.22808	0.68521	10
26	36	0.29899	1.23243	10
27	37	0.33638	1.26828	10
28	38	0.30447	1.09739	10
29	39	0.37834	1.11010	10
30	40	1.06497	0.51923	10
31	41	1.66709	0.35465	10
32	42	1.55764	0.39606	10
33	43	0.98001	0.44949	10
34	44	0.46809	0.64412	10
35	45	0.45572	0.75014	10
36	46	0.30297	0.69241	10
37	47	0.30264	1.03577	10
38	48	0.27533	1.95726	10
39	49	0.12163	0.95938	10
40	50	0.06597	1.88953	10
41	51	0.11366	3.79452	10
42	52	0.13385	3.81588	10
43	53	0.51911	2.97556	10
44	54	0.05907	3.23258	10
45	55	0.04602	3.81561	10
46	56	0.05002	3.89684	10
47	57	0.33553	2.11698	10
48	58	0.24381	2.00807	10
49	59	0.25828	2.49213	10
50	60	0.13090	1.40577	10
51	61	0.07893	0.42563	10
52	62	0.06457	1.05798	10
53	63	0.04217	0.79131	10
54	64	0.05820	1.91560	10
55	65	0.09733	2.37835	10
56	66	0.31558	4.40511	10
57	67	0.15788	4.46709	10
58	68	0.11242	4.55210	10
59	69	0.08985	3.87330	10
60	70	0.22553	11.57045	10
61	71	0.22659	6.08808	10
62	72	0.09389	2.88492	10
63	73	0.09842	4.32890	10
64	74	1.16288	2.94524	10
65	75	0.55107	2.67632	10
66	76	0.44879	2.01295	10
67	77	0.26099	1.69026	10
68	78	0.39714	1.62014	10
69	79	0.46447	2.39319	10
70	80	0.29756	3.46821	10
71	81	0.28965	4.98623	10
72	82	0.24378	4.00389	10
73	83	0.33507	2.57843	10
74	84	0.44514	1.93778	10
75	85	0.63969	1.57012	10
76	86	0.36764	0.86953	10
77	87	0.37052	0.36993	10
78	88	0.23545	0.40489	10
79	89	0.31621	0.65647	10
80	90	0.39889	0.34038	10
81	91	0.35150	0.51572	10
82	92	0.28052	1.18132	10
83	93	0.20100	1.26161	10
84	94	0.13263	1.14600	10
85	95	0.17165	1.38022	10
86	96	0.43993	1.12406	10
87	97	0.49768	1.83728	10
88	98	0.41392	1.95201	10
89	99	0.62750	1.65736	10
90	100	0.55354	1.73719	10
91	101	0.39074	1.64668	10
92	102	0.35264	2.07895	10
93	103	0.25070	2.87907	10
94	104	0.28186	2.79222	10
95	105	0.37988	2.52668	10
96	106	0.24426	2.74305	10
97	107	0.15439	1.82415	10
98	108	0.14367	1.50198	10
99	109	0.07659	1.39264	10
100	110	0.08332	1.14046	10
101	111	0.05740	0.90946	10
102	112	0.04846	0.97440	10
103	113	0.01127	1.17841	10
104	114	0.01186	1.03680	10
105	115	0.00226	0.43302	10
106	116	0.00318	0.47990	10
107	117	0.00471	0.54307	10
108	118	0.06977	1.22781	10
109	119	0.01544	1.59584	10
110	120	0.09596	1.54220	10
111	121	0.05270	2.45337	10
112	122	0.08364	4.37575	10
113	123	0.13236	5.89113	10
114	124	0.04190	4.56263	10
115	125	0.06684	2.50917	10
116	126	0.13635	3.58759	10
117	127	0.23124	3.67512	10
118	128	0.26432	3.11234	10
119	129	0.46054	1.79676	10
120	130	0.39448	1.91623	10
121	131	0.28520	4.50797	10
122	132	0.36586	3.61697	10
123	133	0.28302	4.78702	10
124	134	0.14992	7.16874	10
125	135	0.11968	8.40195	10
126	136	0.04126	1.69935	10
127	137	0.01870	0.26495	10
128	138	0.01826	0.09189	10
129	139	0.48858	0.29312	10
130	140	0.02008	0.06964	10
131	141	0.01448	0.00408	10
132	142	999.00000	0.00010	10
133	143	581.46622	999.00000	10
134	144	999.00000	0.00010	10
135	145	0.00245	0.00010	10
136	146	0.00251	0.00047	10
137	147	0.04360	2.05128	10
138	148	0.03170	2.23855	10
139	149	0.06921	0.32972	10
140	150	0.02345	0.05271	10
141	151	nan	nan	10
142	152	0.06674	1.14134	10
143	153	0.05079	1.24479	10
144	154	0.06428	1.69287	10
145	155	0.17501	1.38353	10
146	156	0.23535	1.34802	10
147	157	0.28670	2.39596	10
148	158	0.42918	2.74820	10
149	159	0.37487	3.70903	10
150	160	0.42489	3.98098	10
151	161	0.27337	4.69856	10
152	162	0.25429	4.12485	10
153	163	0.17305	4.74464	10
154	164	0.27694	4.44579	10
155	165	0.20831	2.97804	10
156	166	0.10938	2.47566	10
157	167	0.09379	2.11954	10
158	168	0.05555	1.48456	10
159	169	0.27262	1.09842	10
160	170	0.26731	1.59865	10
161	171	0.27814	1.87035	10
162	172	0.30090	1.52888	10
163	173	0.39876	1.43208	10
164	174	0.50935	1.58400	10
165	175	0.42105	2.47897	10
166	176	0.34807	3.17907	10
167	177	0.34013	3.86376	10
168	178	0.17943	6.38308	10
169	179	0.10415	5.63998	10
170	180	0.09767	1.67477	10
171	181	0.02144	2.21999	10
172	182	0.00760	2.56331	10
173	183	0.00768	1.45872	10
174	184	0.07818	1.43449	10
175	185	0.01741	1.88117	10
176	186	0.01731	2.15626	10
177	187	0.12028	1.48741	10
178	188	0.34475	3.24349	10
179	189	0.43125	3.08551	10
180	190	0.31726	3.22607	10
181	191	0.18684	2.25807	10
182	192	0.21962	3.38146	10
183	193	0.15662	1.64676	10
184	194	0.18759	1.16408	10
185	195	0.21216	0.92924	10
186	196	0.15419	1.47648	10
187	197	0.07743	1.96289	10
188	198	0.06088	2.97015	10
189	199	0.05016	3.25181	10
190	200	0.04944	2.46903	10
191	201	0.07379	2.38079	10
192	202	0.03607	2.22229	10
193	203	0.00010	5.04105	10
194	204	0.03980	8.87179	10
195	205	0.03927	2.87137	10
196	206	0.05848	1.63761	10
197	207	0.03053	1.59036	10
198	208	0.04583	0.98814	10
199	209	0.04477	1.22244	10
200	210	0.09246	1.57573	10
201	211	0.10476	1.24307	10
202	212	0.12910	1.79921	10
203	213	0.15461	1.78028	10
204	214	0.13398	1.96559	10
205	215	0.17031	1.84684	10
206	216	0.17968	2.31749	10
207	217	0.32074	2.94349	10
208	218	0.30297	2.28187	10
209	219	0.28754	2.03542	10
210	220	0.27912	1.25206	10
211	221	0.34130	0.92008	10
212	222	0.49175	1.03676	10
213	223	0.26545	1.27228	10
214	224	0.06954	0.36391	10
215	225	0.04635	0.21377	10
216	226	0.03134	0.13096	10
217	227	0.06406	0.18851	10
218	228	0.10971	0.27654	10
219	229	0.30791	0.84794	10
220	230	0.83745	2.04029	10
221	231	0.76400	1.78439	10
222	232	0.75433	1.08631	10
223	233	0.88866	1.12103	10
224	234	0.76988	0.62929	10
225	235	0.41411	0.91259	10
226	236	1.06409	0.48470	10
227	237	0.65822	1.03357	10
228	238	0.57340	0.83618	10
229	239	0.56003	1.03346	10
230	240	0.27380	1.19173	10
231	241	0.36624	1.52325	10
232	242	0.35701	1.28525	10
233	243	0.34038	1.41613	10
234	244	0.40718	2.03978	10
235	245	0.57297	2.73869	10
236	246	2.62788	9.25544	10
237	247	211.33583	24.44137	10
238	248	nan	nan	10
239	249	999.00000	0.00010	10
