range_start	range_stop	omega	kappa	window_size
1	11	0.00093	3.48937	10
2	12	0.00087	1.64550	10
3	13	0.00102	1.36848	10
4	14	0.04129	1.32290	10
5	15	0.03577	1.38229	10
6	16	0.06562	0.80120	10
7	17	0.04744	1.28502	10
8	18	0.04502	1.66830	10
9	19	0.03155	1.90929	10
10	20	0.03412	1.76332	10
11	21	0.06404	1.54203	10
12	22	0.11287	2.25963	10
13	23	0.09490	1.30439	10
14	24	0.08593	1.08897	10
15	25	0.00915	1.11737	10
16	26	0.02893	7.25406	10
17	27	0.04234	7.30409	10
18	28	0.06586	6.26734	10
19	29	0.11441	9.11320	10
20	30	0.09964	7.23654	10
21	31	0.09166	14.03979	10
22	32	0.06483	10.67993	10
23	33	0.04952	6.56584	10
24	34	0.14991	14.09734	10
25	35	0.08316	11.07576	10
26	36	0.08562	2.72172	10
27	37	0.07594	1.72192	10
28	38	0.21703	0.99774	10
29	39	0.12264	0.53359	10
30	40	0.02910	3.23381	10
31	41	0.06312	1.37352	10
32	42	0.21162	1.74720	10
33	43	0.12281	2.11973	10
34	44	0.08472	2.78162	10
35	45	0.00471	1.60926	10
36	46	0.00368	2.66090	10
37	47	0.00290	3.29494	10
38	48	0.06360	4.17092	10
39	49	0.04751	6.47947	10
40	50	0.00238	2.96008	10
41	51	0.00250	3.00866	10
42	52	0.00451	4.44936	10
43	53	0.00116	6.59135	10
44	54	0.00010	1.68406	10
45	55	0.00010	0.98622	10
46	56	0.00010	0.50547	10
47	57	0.00010	0.73965	10
48	58	0.00010	0.90641	10
49	59	0.00010	0.02898	10
50	60	0.00010	0.04387	10
51	61	0.00010	0.77115	10
52	62	0.00010	0.84078	10
53	63	0.00123	1.65914	10
54	64	0.00101	1.78320	10
55	65	0.00109	2.65357	10
56	66	0.00079	2.08589	10
57	67	0.00080	2.61518	10
58	68	0.00894	2.97744	10
59	69	0.04167	4.88718	10
60	70	0.02699	4.17327	10
61	71	0.06015	4.87385	10
62	72	0.08845	6.03781	10
63	73	0.08251	7.08449	10
64	74	0.07886	8.91210	10
65	75	0.07297	5.38351	10
66	76	0.04810	4.03713	10
67	77	0.05210	4.99133	10
68	78	0.02621	5.21207	10
69	79	0.00010	31.41031	10
70	80	0.00010	40.51325	10
71	81	0.00010	7.46252	10
72	82	0.00010	35.08514	10
73	83	0.01444	4.65234	10
74	84	0.05913	2.63889	10
75	85	0.05501	1.69603	10
76	86	0.07248	1.72502	10
