range_start	range_stop	omega	kappa	window_size
1	11	0.00072	3.00930	10
2	12	0.00195	2.51765	10
3	13	0.00744	1.18320	10
4	14	0.00592	1.14035	10
5	15	0.00972	1.80627	10
6	16	0.01095	1.91986	10
7	17	0.01174	2.14565	10
8	18	0.01297	2.32775	10
9	19	0.01973	4.07399	10
10	20	0.20548	15.26123	10
11	21	0.19997	3.27083	10
12	22	0.03788	6.67287	10
13	23	0.00010	17.17106	10
14	24	0.00010	10.62734	10
15	25	0.00010	2.82850	10
16	26	0.00010	2.22815	10
17	27	0.00010	10.56281	10
18	28	0.00010	11.11652	10
19	29	0.00010	5.36911	10
20	30	0.00010	0.94881	10
21	31	0.00010	7.68623	10
22	32	0.00010	7.86519	10
23	33	0.00010	24.20823	10
24	34	0.00010	36.74666	10
25	35	0.00010	8.66456	10
26	36	0.00010	9.14485	10
27	37	0.00010	8.86082	10
28	38	0.00326	5.66917	10
29	39	0.01041	10.15112	10
30	40	0.00645	12.49268	10
31	41	0.01960	6.73174	10
32	42	0.02025	6.96668	10
33	43	0.02639	13.66298	10
34	44	0.02220	6.13744	10
35	45	0.02475	4.68916	10
36	46	0.02117	1.80166	10
37	47	0.01971	1.31851	10
38	48	0.00010	3.79671	10
39	49	0.00010	22.52782	10
40	50	0.00010	25.91430	10
41	51	0.00010	2.56150	10
42	52	0.00010	1.92252	10
43	53	0.00010	0.67961	10
44	54	0.00010	0.95255	10
45	55	0.00615	3.04527	10
46	56	0.00067	998.82601	10
47	57	0.00087	189.13449	10
48	58	0.01613	15.91939	10
49	59	0.01345	4.88475	10
50	60	0.00038	37.53875	10
51	61	0.01503	3.53168	10
52	62	0.01872	5.93386	10
53	63	0.01281	1.86199	10
54	64	0.01222	2.07793	10
55	65	0.00010	1.23273	10
56	66	0.00010	0.30707	10
57	67	0.00010	0.67345	10
58	68	0.00010	0.40695	10
59	69	0.00010	0.49391	10
60	70	0.00010	0.21654	10
61	71	0.00010	0.00802	10
62	72	0.00317	0.11971	10
63	73	0.00136	0.03638	10
64	74	0.00766	0.43145	10
65	75	0.00883	0.28495	10
66	76	0.00928	0.83230	10
67	77	0.01177	1.40091	10
68	78	0.01128	3.20539	10
69	79	0.01128	3.20539	10
70	80	0.01180	2.54681	10
71	81	0.01114	3.18476	10
72	82	0.00010	43.93704	10
73	83	0.00010	20.23570	10
74	84	0.00010	0.03214	10
75	85	0.00010	0.00144	10
76	86	0.00010	0.00116	10
77	87	0.00010	0.00104	10
78	88	0.00010	0.00137	10
79	89	0.00010	0.00137	10
80	90	0.00010	0.01493	10
81	91	0.00010	143.38373	10
82	92	0.00010	14.73271	10
83	93	0.00010	24.72361	10
84	94	0.00010	17.19689	10
85	95	0.00010	14.16308	10
86	96	0.00010	13.65853	10
87	97	0.00010	12.74571	10
88	98	0.00010	8.61426	10
89	99	0.00010	14.27823	10
90	100	0.01981	11.07496	10
91	101	0.05543	4.51918	10
92	102	0.03961	3.28830	10
93	103	0.04076	2.98187	10
94	104	0.04733	3.20451	10
95	105	0.04325	2.50155	10
96	106	0.05452	1.49273	10
97	107	0.04638	1.78618	10
98	108	0.06775	1.53198	10
99	109	0.06500	1.33181	10
100	110	0.01164	0.46307	10
101	111	0.00010	0.29513	10
102	112	0.00010	0.94503	10
103	113	0.00010	1.05989	10
104	114	0.01800	1.93973	10
105	115	0.01848	1.75372	10
106	116	0.03548	1.55396	10
107	117	0.03127	1.53825	10
108	118	0.02538	1.48385	10
109	119	0.03675	0.86347	10
110	120	0.03006	0.72886	10
111	121	0.02155	1.60311	10
112	122	0.01999	1.60350	10
113	123	0.03605	2.06812	10
114	124	0.00214	2.26266	10
115	125	0.00862	2.22241	10
116	126	0.00072	2.71971	10
117	127	0.00070	4.83480	10
118	128	0.00066	32.54831	10
119	129	0.00087	35.14273	10
120	130	0.00066	44.91024	10
121	131	0.00010	4.28139	10
122	132	0.00010	2.08045	10
123	133	0.00010	1.26785	10
124	134	0.00010	0.57626	10
125	135	0.00010	0.59027	10
126	136	0.00010	1.75152	10
127	137	0.00010	2.61099	10
128	138	0.00010	2.00334	10
129	139	0.00010	1.77418	10
130	140	0.00010	2.55808	10
131	141	0.00010	3.85953	10
132	142	0.00010	6.53422	10
133	143	0.00010	19.90301	10
134	144	0.00010	9.20192	10
