range_start	range_stop	omega	kappa	window_size
1	11	0.18024	1.05893	10
2	12	0.31055	1.06215	10
3	13	0.47826	1.28461	10
4	14	0.46874	1.89171	10
5	15	0.61893	1.47818	10
6	16	0.51807	1.47966	10
7	17	0.38057	1.39886	10
8	18	0.36435	1.78910	10
9	19	0.27475	2.51530	10
10	20	0.30793	2.47525	10
11	21	0.39819	2.30239	10
12	22	0.28267	2.83756	10
13	23	0.17516	2.17561	10
14	24	0.12335	1.36778	10
15	25	0.04713	1.22993	10
16	26	0.06963	1.10193	10
17	27	0.04267	0.97875	10
18	28	0.04055	1.09786	10
19	29	0.00636	1.19698	10
20	30	0.00661	1.07026	10
21	31	0.00197	0.46111	10
22	32	0.00316	0.58368	10
23	33	0.00473	0.64017	10
24	34	0.06878	1.14317	10
25	35	0.01412	1.34898	10
26	36	0.09491	1.42323	10
27	37	0.04585	2.35043	10
28	38	0.08578	4.39459	10
29	39	0.13430	5.93871	10
30	40	0.03711	3.58088	10
31	41	0.06571	2.43634	10
32	42	0.12740	3.25862	10
33	43	0.24627	3.34064	10
34	44	0.27694	2.68805	10
35	45	0.56053	1.60238	10
36	46	0.66867	2.22128	10
37	47	0.38360	3.04494	10
38	48	0.42876	3.33556	10
39	49	0.27389	4.87516	10
40	50	0.14228	7.19745	10
41	51	0.12215	8.55170	10
42	52	0.04344	1.80926	10
43	53	0.02040	0.29864	10
44	54	0.16205	0.40303	10
45	55	0.01718	0.05032	10
46	56	0.04553	0.03593	10
47	57	3.82135	0.36947	10
48	58	999.00000	0.00010	10
49	59	582.20129	998.99995	10
50	60	999.00000	0.00010	10
51	61	0.00245	0.00010	10
52	62	0.00761	0.12895	10
53	63	0.04322	2.00149	10
54	64	0.03094	2.17023	10
55	65	0.04827	0.35732	10
56	66	0.02085	0.08672	10
57	67	0.04502	0.61495	10
58	68	0.06494	1.14087	10
59	69	0.05709	1.25154	10
60	70	0.06775	1.87113	10
61	71	0.17791	1.51500	10
62	72	0.32108	1.52538	10
63	73	0.41839	2.21812	10
64	74	0.50075	2.60791	10
65	75	0.48158	2.69617	10
66	76	nan	nan	10
67	77	nan	nan	10
68	78	0.79709	5.15415	10
69	79	0.22813	4.65219	10
70	80	0.48531	4.75172	10
71	81	0.14614	2.61665	10
72	82	0.09547	2.20632	10
73	83	0.09707	1.96534	10
74	84	0.04661	1.58965	10
75	85	0.14827	1.79675	10
76	86	0.22427	3.14338	10
77	87	0.45619	3.30004	10
78	88	0.42392	1.78732	10
79	89	0.41436	1.67847	10
80	90	0.52977	1.64708	10
81	91	0.43733	2.59761	10
82	92	0.34369	3.25107	10
83	93	0.33101	3.61015	10
84	94	0.25342	4.62757	10
85	95	0.13406	5.34164	10
86	96	0.06907	2.45321	10
87	97	0.01945	2.45304	10
88	98	0.00818	2.49558	10
89	99	0.13941	1.03667	10
90	100	0.03302	2.62602	10
91	101	0.01729	1.87393	10
92	102	0.01053	3.53651	10
93	103	0.11911	1.47695	10
94	104	0.33995	3.21657	10
95	105	0.43125	3.08551	10
96	106	0.31726	3.22607	10
97	107	0.18684	2.25807	10
98	108	0.21962	3.38146	10
99	109	0.15662	1.64676	10
100	110	0.18759	1.16408	10
101	111	0.21216	0.92924	10
102	112	0.15419	1.47648	10
103	113	0.07743	1.96289	10
104	114	0.06088	2.97015	10
105	115	0.05016	3.25181	10
106	116	0.04944	2.46903	10
107	117	0.07379	2.38079	10
108	118	0.03607	2.22229	10
109	119	0.00010	5.04105	10
110	120	0.03980	8.87180	10
111	121	0.03927	2.87137	10
112	122	0.05848	1.63761	10
113	123	0.03053	1.59036	10
114	124	0.04583	0.98814	10
115	125	0.04477	1.22244	10
116	126	0.09246	1.57573	10
117	127	0.10476	1.24307	10
118	128	0.12910	1.79921	10
119	129	0.15461	1.78028	10
120	130	0.13398	1.96559	10
121	131	0.15968	1.98335	10
122	132	0.22946	2.20758	10
123	133	0.35193	2.73833	10
124	134	0.23994	1.79674	10
125	135	0.38237	1.91648	10
126	136	0.35652	1.24892	10
127	137	0.40826	0.97300	10
128	138	0.55970	0.94505	10
129	139	0.27852	1.07564	10
130	140	0.06104	0.33539	10
131	141	0.03855	0.17913	10
132	142	0.03348	0.13253	10
133	143	0.06824	0.17856	10
134	144	0.11370	0.27938	10
135	145	0.33331	0.93463	10
136	146	1.17533	1.45137	10
137	147	1.25524	1.53381	10
138	148	1.59972	1.45541	10
139	149	1.85700	1.64389	10
140	150	999.00000	0.00010	10
141	151	1.19374	1.03438	10
142	152	1.06013	0.45417	10
143	153	0.67441	0.80474	10
144	154	0.65466	0.71280	10
145	155	0.59656	0.86103	10
146	156	0.27329	1.22878	10
147	157	0.32572	1.52928	10
148	158	0.29659	1.35785	10
149	159	0.29065	1.40505	10
150	160	0.45570	2.31435	10
151	161	1.40349	3.31774	10
152	162	3.98327	13.83045	10
153	163	90.55867	73.24566	10
154	164	3.27266	0.63739	10
155	165	1.09130	0.05503	10
156	166	0.54607	1.63804	10
157	167	0.03788	0.01194	10
158	168	0.32508	0.61067	10
159	169	0.02539	0.01061	10
160	170	0.37820	0.75112	10
161	171	0.36639	0.77777	10
162	172	0.34325	0.93756	10
163	173	0.23125	3.13623	10
164	174	0.51049	0.85933	10
165	175	0.03948	0.08439	10
166	176	12.90459	39.00126	10
167	177	11.24826	34.58863	10
168	178	11.39975	48.68330	10
169	179	12.78935	40.37681	10
170	180	15.59649	42.20810	10
171	181	10.42346	36.50500	10
172	182	0.76827	1.96505	10
173	183	5.33229	25.25847	10
174	184	2.89065	16.83198	10
175	185	4.67321	23.25576	10
176	186	6.53641	27.41124	10
177	187	6.23870	33.48710	10
178	188	5.99181	27.38293	10
179	189	2.43053	7.20985	10
180	190	2.74495	14.40165	10
181	191	6.02750	31.56308	10
182	192	6.41460	35.55746	10
183	193	3.77769	17.59755	10
184	194	3.04165	14.66917	10
185	195	1.69002	10.13895	10
186	196	0.86425	5.73929	10
187	197	16.20742	0.06313	10
188	198	3.48858	19.41789	10
189	199	8.75825	28.80601	10
190	200	11.56910	34.28728	10
191	201	42.87323	101.68384	10
192	202	47.88843	103.44984	10
193	203	55.44792	120.53315	10
194	204	33.29314	69.86591	10
195	205	40.25734	51.06990	10
196	206	18.71686	18.87304	10
197	207	5.15264	12.26221	10
198	208	16.21810	53.17213	10
199	209	0.92255	8.09682	10
200	210	2.49879	32.00162	10
201	211	0.25815	3.78485	10
202	212	0.18349	2.64035	10
203	213	0.07395	1.62734	10
204	214	0.12156	1.49419	10
205	215	0.05022	2.19404	10
206	216	0.04339	1.78855	10
207	217	0.02516	1.21681	10
208	218	0.02872	1.34297	10
209	219	0.00884	0.86332	10
210	220	0.00094	0.28405	10
211	221	0.00672	0.25882	10
212	222	0.00719	0.36982	10
213	223	0.00275	0.12898	10
214	224	0.00297	0.27044	10
215	225	0.00316	0.19190	10
216	226	0.00277	0.18979	10
217	227	0.00010	0.33129	10
218	228	0.00396	0.52262	10
219	229	0.00380	0.41929	10
220	230	0.00645	0.44026	10
221	231	0.01128	0.49862	10
222	232	0.00429	0.29014	10
223	233	0.01844	0.50850	10
224	234	0.01991	0.44559	10
225	235	0.03217	1.18712	10
226	236	0.03440	1.71811	10
227	237	0.04724	2.53414	10
228	238	0.00672	2.58272	10
229	239	0.00349	1.25121	10
230	240	0.00286	1.70696	10
231	241	0.00214	1.67020	10
232	242	0.00248	2.99845	10
233	243	0.01264	0.70738	10
234	244	0.05849	0.53056	10
235	245	0.01842	0.65188	10
236	246	0.04772	0.29079	10
237	247	0.04530	0.35277	10
238	248	0.03900	1.10940	10
239	249	0.00010	1.38920	10
240	250	0.00010	2.34517	10
241	251	0.00010	0.63749	10
242	252	0.01093	0.76164	10
243	253	0.01036	1.61472	10
244	254	0.00995	2.18180	10
245	255	0.01067	1.25929	10
246	256	0.00597	2.72815	10
247	257	0.00945	2.07731	10
248	258	0.01887	1.10271	10
249	259	0.02046	1.12888	10
250	260	0.02688	1.10839	10
251	261	0.02255	0.77184	10
252	262	0.00927	0.54242	10
253	263	0.00863	0.76989	10
254	264	0.00429	0.42694	10
255	265	0.00230	0.19732	10
256	266	0.01687	2.55439	10
257	267	0.00718	1.38147	10
258	268	0.00611	1.32385	10
259	269	0.00605	1.94111	10
260	270	0.00010	75.62372	10
261	271	0.00876	4.33728	10
262	272	0.01063	3.05000	10
263	273	0.01403	3.14004	10
264	274	0.02106	3.53334	10
265	275	0.02535	3.01245	10
266	276	0.02940	2.23427	10
267	277	0.02727	2.66592	10
268	278	0.01934	3.78245	10
269	279	0.02098	4.74899	10
270	280	0.05527	1.80386	10
271	281	0.04756	3.08454	10
272	282	0.05997	2.61937	10
