range_start	range_stop	omega	kappa	window_size
1	11	0.01593	1.24204	10
2	12	0.06308	1.94396	10
3	13	0.07887	2.36055	10
4	14	0.05984	2.28799	10
5	15	0.08488	1.50686	10
6	16	0.08587	1.47834	10
7	17	0.14566	1.11078	10
8	18	0.13499	1.77839	10
9	19	0.12699	1.79156	10
10	20	0.22054	0.99055	10
11	21	0.26293	1.22155	10
12	22	0.17963	0.87179	10
13	23	0.12450	0.89886	10
14	24	0.09259	0.97281	10
15	25	0.06881	1.48014	10
16	26	0.07522	1.85003	10
17	27	0.05003	2.46853	10
18	28	0.05385	2.11269	10
19	29	0.04754	2.49189	10
20	30	0.05736	4.58698	10
21	31	0.10057	2.85188	10
22	32	0.09466	2.81154	10
23	33	0.09822	2.46177	10
24	34	0.04772	0.76044	10
25	35	0.03990	1.29697	10
26	36	0.02993	1.74592	10
27	37	0.09122	0.85979	10
28	38	0.02077	0.23419	10
29	39	0.03438	0.70675	10
30	40	0.02101	0.36785	10
31	41	0.00736	0.46220	10
32	42	0.04505	0.63153	10
33	43	0.06815	0.97754	10
34	44	0.05745	1.79686	10
35	45	0.07733	0.90734	10
36	46	0.12196	0.85473	10
37	47	0.07941	0.74154	10
38	48	0.06195	1.57643	10
39	49	0.02108	1.65857	10
40	50	0.06795	1.09848	10
41	51	0.06656	0.94237	10
42	52	0.01890	0.14657	10
43	53	0.02973	0.15681	10
44	54	0.10274	0.20596	10
45	55	0.14995	0.37443	10
46	56	0.11808	0.29652	10
47	57	0.07875	0.33381	10
48	58	0.13525	0.56095	10
49	59	0.17383	1.08413	10
50	60	0.19440	0.96633	10
51	61	0.08584	0.39079	10
52	62	0.08386	0.53525	10
53	63	0.09513	0.79987	10
54	64	0.06678	0.78382	10
55	65	0.06296	1.39075	10
56	66	0.11133	2.10854	10
57	67	0.11323	2.43336	10
58	68	0.13385	2.34757	10
59	69	0.07007	1.80983	10
60	70	0.05680	2.53723	10
61	71	0.10548	2.27509	10
62	72	0.10575	2.40352	10
63	73	0.14041	2.57464	10
64	74	0.17354	2.38600	10
65	75	0.14480	2.10132	10
66	76	0.06108	2.09749	10
67	77	0.08784	1.59820	10
68	78	0.02486	4.24433	10
69	79	0.05151	3.42633	10
70	80	0.08980	2.14953	10
71	81	0.07352	3.49943	10
72	82	0.04384	3.78993	10
73	83	0.02707	2.26453	10
74	84	0.04781	3.30682	10
75	85	0.04803	2.97639	10
76	86	0.03495	2.69322	10
77	87	0.05946	3.23344	10
78	88	0.11641	2.26715	10
79	89	0.05474	1.53785	10
80	90	0.12894	1.60418	10
81	91	0.05139	1.10775	10
82	92	0.22332	1.68310	10
83	93	0.30621	2.23285	10
84	94	0.30745	2.09243	10
85	95	0.26280	1.43785	10
86	96	0.22292	2.50797	10
87	97	0.20882	1.75229	10
88	98	0.15762	2.13203	10
89	99	0.17209	2.28912	10
90	100	0.18659	2.16218	10
91	101	0.15639	2.05201	10
92	102	0.07954	1.63370	10
93	103	0.05475	1.39794	10
94	104	0.07052	1.55781	10
95	105	0.13702	3.79879	10
96	106	0.11681	2.35929	10
97	107	0.06397	3.62227	10
98	108	0.04529	1.41624	10
99	109	0.05642	1.59367	10
100	110	0.10343	3.35668	10
101	111	0.14730	2.95162	10
102	112	0.15598	2.84740	10
103	113	0.12800	2.95710	10
104	114	0.07010	4.98354	10
105	115	0.16782	2.81917	10
106	116	0.19478	3.46328	10
107	117	0.21801	2.89526	10
108	118	0.15709	3.26614	10
109	119	0.10221	2.93279	10
110	120	0.06231	1.86099	10
111	121	0.04842	1.53934	10
112	122	0.01900	0.71796	10
113	123	0.10592	1.15440	10
114	124	0.09944	1.45199	10
115	125	0.06262	3.29936	10
116	126	0.19546	2.04404	10
117	127	0.12775	1.77420	10
118	128	0.17198	2.24030	10
119	129	0.14696	2.21004	10
120	130	0.15105	2.49448	10
121	131	0.31015	3.60339	10
122	132	0.23469	5.90136	10
123	133	0.04145	9.26507	10
124	134	0.05393	6.07633	10
125	135	0.02175	21.09390	10
126	136	0.00104	13.72000	10
127	137	0.00098	14.83562	10
128	138	0.00637	10.85678	10
129	139	0.00353	17.51849	10
130	140	0.00336	9.27054	10
131	141	0.00010	68.27417	10
132	142	0.00010	3.38450	10
133	143	0.00010	1.30238	10
134	144	0.00010	1.06850	10
135	145	0.00010	1.91063	10
136	146	0.00010	2.78947	10
137	147	0.00010	1.79481	10
138	148	0.00010	2.47250	10
139	149	0.04745	1.67757	10
140	150	0.09382	1.69243	10
141	151	0.08799	2.01484	10
142	152	0.09644	3.03923	10
143	153	0.11577	2.25175	10
144	154	0.16825	1.17374	10
145	155	0.16327	1.22736	10
146	156	0.18347	1.09845	10
147	157	0.18583	1.51890	10
148	158	0.14604	1.58781	10
149	159	0.12158	1.15256	10
150	160	0.09471	1.03485	10
151	161	0.13447	1.04781	10
152	162	0.15890	1.05689	10
153	163	0.22272	1.28326	10
154	164	0.16087	2.08869	10
155	165	0.07757	1.95165	10
156	166	0.08875	2.68630	10
157	167	0.04645	1.42962	10
