range_start	range_stop	omega	kappa	window_size
1	11	0.00705	1.10903	10
2	12	0.00559	0.65001	10
3	13	0.00547	2.09421	10
4	14	0.00010	8.48666	10
5	15	0.00010	199.52567	10
6	16	0.00010	345.66672	10
7	17	0.00010	379.73603	10
8	18	0.00010	201.08093	10
9	19	0.00010	262.50155	10
10	20	0.00010	190.84365	10
11	21	0.00010	167.78554	10
12	22	0.00010	999.00000	10
13	23	0.00010	999.00000	10
14	24	0.00010	22.37364	10
15	25	0.00010	2.94279	10
16	26	0.00010	33.73345	10
17	27	0.00010	7.17379	10
18	28	0.00010	0.08901	10
19	29	0.00010	2.28254	10
20	30	0.00010	66.38573	10
21	31	0.00010	34.27296	10
22	32	0.00010	1.44879	10
23	33	0.00010	0.12227	10
24	34	0.00010	1.14268	10
25	35	0.00010	2.49747	10
26	36	0.00010	6.82491	10
27	37	0.00010	1.65451	10
28	38	0.00010	4.08323	10
29	39	0.00010	4.44321	10
30	40	0.00010	4.44321	10
31	41	0.00010	4.92354	10
32	42	0.00010	3.58444	10
33	43	0.00010	3.45097	10
34	44	0.00010	4.74619	10
35	45	0.00010	2.57937	10
36	46	0.00010	3.73739	10
37	47	0.00010	17.35885	10
38	48	0.00010	16.70789	10
39	49	0.00010	4.91439	10
40	50	0.00010	4.97955	10
41	51	0.00010	6.68159	10
42	52	0.00010	19.18053	10
43	53	0.00010	10.36160	10
44	54	0.00010	10.15929	10
45	55	0.00010	16.54922	10
46	56	0.00010	16.56738	10
47	57	0.00010	19.42693	10
48	58	0.00010	65.02036	10
49	59	0.00010	155.31413	10
50	60	0.00010	149.54511	10
51	61	0.00010	174.96509	10
52	62	0.00010	40.97712	10
53	63	0.00010	17.27399	10
54	64	0.00010	35.12870	10
55	65	0.00010	44.00176	10
56	66	0.00010	14.72224	10
57	67	0.00010	12.39155	10
58	68	0.00010	9.53408	10
59	69	0.00010	7.92647	10
60	70	0.00010	2.98358	10
61	71	0.00010	2.96424	10
62	72	0.00010	3.35950	10
63	73	0.00010	1.15097	10
64	74	0.00010	0.60598	10
65	75	0.00010	0.32356	10
66	76	0.00010	0.39384	10
67	77	0.00010	0.25659	10
68	78	0.00010	0.29057	10
69	79	0.00010	0.50393	10
70	80	0.00010	58.98415	10
71	81	0.00010	0.34239	10
72	82	0.00010	0.22071	10
73	83	0.00010	0.96373	10
74	84	0.00010	0.87933	10
75	85	0.00010	1.60224	10
76	86	0.00010	3.66420	10
77	87	0.00010	2.33283	10
78	88	0.00010	0.36354	10
79	89	0.00010	5.45216	10
80	90	0.00010	1.84962	10
81	91	0.00010	0.26211	10
82	92	0.00010	0.20235	10
83	93	0.00010	1.61734	10
84	94	0.00010	0.61960	10
85	95	0.00010	1.73081	10
86	96	0.00010	0.44691	10
87	97	0.00010	3.23433	10
88	98	0.00010	2.91515	10
89	99	0.00010	0.27510	10
90	100	0.00010	0.10412	10
91	101	0.00010	0.06096	10
92	102	0.00010	1.21711	10
93	103	0.00010	1.16775	10
94	104	0.00010	1.63197	10
95	105	0.00010	0.10981	10
96	106	0.00010	0.09748	10
97	107	0.00010	0.26701	10
98	108	0.00697	0.98108	10
99	109	0.00983	2.47014	10
100	110	0.01196	1.79566	10
101	111	0.00574	1.84860	10
102	112	0.01180	1.72222	10
103	113	0.00994	2.01748	10
104	114	0.00562	1.33043	10
105	115	0.00576	1.37963	10
106	116	0.00505	1.29657	10
107	117	0.00314	0.44676	10
108	118	0.00010	6.13638	10
109	119	0.00010	2.31487	10
110	120	0.00010	1.63411	10
111	121	0.00010	5.14285	10
112	122	0.00010	0.67561	10
113	123	0.00010	0.80024	10
114	124	0.00010	2.63517	10
115	125	0.00010	2.10017	10
116	126	0.00010	2.51270	10
117	127	0.00010	6.09455	10
118	128	0.00010	3.02536	10
119	129	0.00010	10.63631	10
120	130	0.00010	1.24344	10
121	131	0.00010	2.36072	10
122	132	0.00010	71.35492	10
123	133	0.00010	80.47442	10
124	134	0.00010	17.90428	10
125	135	0.00010	15.09118	10
126	136	0.00010	9.55537	10
127	137	0.00010	16.55035	10
128	138	0.00010	2.65399	10
129	139	0.00010	3.24074	10
130	140	0.00010	3.52646	10
131	141	0.00010	24.34613	10
132	142	0.00010	13.24647	10
133	143	0.00010	0.46422	10
134	144	0.00163	0.23050	10
135	145	0.00214	0.12937	10
136	146	0.00463	0.23568	10
137	147	0.00736	0.53610	10
138	148	0.00487	0.51444	10
139	149	0.00150	5.79130	10
140	150	0.00049	27.05247	10
141	151	0.00297	1.04185	10
142	152	0.00232	7.00220	10
143	153	0.00248	4.96710	10
144	154	0.00010	65.99598	10
145	155	0.00010	93.57520	10
146	156	0.00010	50.67117	10
147	157	0.00010	3.08258	10
148	158	0.00010	1.10397	10
149	159	0.00010	6.64425	10
150	160	0.00010	2.51494	10
151	161	0.00010	5.35547	10
152	162	0.00010	62.29283	10
153	163	0.00010	68.55776	10
154	164	0.00010	13.52447	10
155	165	0.00010	8.07120	10
156	166	0.00010	14.04255	10
157	167	0.00010	60.06475	10
158	168	0.00010	3.59183	10
159	169	0.00010	3.41260	10
160	170	0.00010	0.97428	10
161	171	0.00010	0.63052	10
162	172	0.00010	1.19419	10
163	173	0.00010	0.35798	10
164	174	0.00010	0.92875	10
165	175	0.00010	0.67337	10
166	176	0.00010	0.21019	10
167	177	0.00025	0.00248	10
168	178	0.00024	0.00383	10
169	179	0.00051	0.19437	10
170	180	0.00066	0.47197	10
171	181	0.00103	1.03249	10
172	182	0.00071	0.07986	10
173	183	0.00097	0.56942	10
174	184	0.00097	0.83149	10
175	185	0.00134	0.84873	10
176	186	0.01328	0.81027	10
177	187	0.00010	2.17093	10
178	188	0.00010	2.28725	10
179	189	0.00010	1.89483	10
180	190	0.00010	1.02807	10
181	191	0.00010	1.20464	10
182	192	0.00010	1.20464	10
183	193	0.00010	1.36030	10
184	194	0.00010	1.11035	10
185	195	0.00010	0.55366	10
186	196	0.00010	1.32515	10
187	197	0.00010	3.93903	10
188	198	0.01164	2.29420	10
189	199	0.00151	13.86453	10
190	200	0.00593	5.18291	10
191	201	0.02708	3.05382	10
192	202	0.02708	3.05382	10
193	203	0.02981	2.95452	10
194	204	0.00557	2.47587	10
195	205	0.00158	3.01364	10
196	206	0.00162	2.86150	10
197	207	0.01751	3.10804	10
198	208	0.01267	4.08261	10
199	209	0.01009	3.63809	10
200	210	0.00507	2.43980	10
201	211	0.00010	1.48133	10
202	212	0.00010	1.76093	10
203	213	0.00010	0.54563	10
204	214	0.00010	35.15152	10
205	215	0.00010	42.14902	10
206	216	0.00010	94.95860	10
207	217	0.00010	4.07515	10
208	218	0.00010	4.02745	10
209	219	0.00010	0.19857	10
210	220	0.00010	0.22700	10
211	221	0.00010	32.91666	10
212	222	0.00010	5.35339	10
213	223	0.00043	0.10888	10
214	224	0.00400	0.67408	10
215	225	0.01219	0.42094	10
216	226	0.00062	1.45626	10
217	227	0.01429	0.68855	10
218	228	0.00041	0.47130	10
219	229	0.00157	1.79577	10
220	230	0.01854	3.68926	10
221	231	0.01070	6.27781	10
222	232	0.00956	6.96463	10
223	233	0.00163	19.55299	10
224	234	0.00068	5.95414	10
225	235	0.00010	75.02960	10
226	236	0.00010	53.63481	10
227	237	0.00010	28.23911	10
228	238	0.00010	16.98777	10
229	239	0.00010	11.14123	10
230	240	0.00010	19.05931	10
231	241	0.00010	35.25616	10
232	242	0.00010	6.39185	10
233	243	0.00010	8.18531	10
234	244	0.00010	19.14814	10
235	245	0.00010	16.84495	10
236	246	0.00733	12.91923	10
237	247	0.00893	8.62521	10
238	248	0.00543	4.52920	10
239	249	0.01156	1.80604	10
240	250	0.01378	1.92809	10
241	251	0.01216	1.94855	10
242	252	0.02637	5.21219	10
243	253	0.01601	6.40554	10
244	254	0.00175	6.50158	10
245	255	0.00381	5.07400	10
246	256	0.01822	3.69962	10
247	257	0.00508	1.90823	10
248	258	0.01268	3.40466	10
249	259	0.01017	4.60838	10
250	260	0.01234	5.29673	10
251	261	0.01089	8.25830	10
252	262	0.01634	4.11609	10
253	263	0.02007	5.34513	10
254	264	0.02175	3.17487	10
255	265	0.02432	3.36582	10
256	266	0.00010	4.22378	10
257	267	0.00010	11.02904	10
258	268	0.00010	11.92929	10
259	269	0.00010	13.98575	10
260	270	0.00010	16.01394	10
261	271	0.00010	3.87526	10
262	272	0.00010	2.45547	10
263	273	0.00010	1.80185	10
264	274	0.00010	1.88341	10
265	275	0.00010	1.58603	10
266	276	0.00010	5.57934	10
267	277	0.00010	8.85786	10
268	278	0.00081	4.77306	10
269	279	0.00071	9.16431	10
270	280	0.00606	5.46913	10
271	281	0.00148	0.25945	10
272	282	0.00090	0.17581	10
273	283	0.00125	0.14775	10
274	284	0.00036	0.13440	10
275	285	0.00050	0.23254	10
276	286	0.00049	0.24356	10
277	287	0.00048	0.24972	10
278	288	0.02166	3.40809	10
279	289	0.03731	4.35713	10
280	290	0.00010	999.00000	10
281	291	0.00010	6.80558	10
282	292	0.00711	5.15531	10
283	293	0.00807	4.34923	10
284	294	0.00712	4.32172	10
285	295	0.00650	5.36839	10
286	296	0.00662	5.16112	10
287	297	0.00647	11.77496	10
288	298	0.00753	2.68365	10
289	299	0.00077	4.18884	10
290	300	0.00072	1.06290	10
291	301	0.00604	1.87321	10
292	302	0.00010	1.54679	10
293	303	0.00010	2.75872	10
294	304	0.00010	10.08774	10
295	305	0.00425	0.15305	10
296	306	0.01523	1.72122	10
297	307	0.00557	0.52057	10
298	308	0.01226	1.44005	10
299	309	0.00950	2.21792	10
300	310	0.00356	4.12690	10
301	311	0.00694	1.87866	10
302	312	0.00693	1.52777	10
303	313	0.00592	1.28721	10
304	314	0.00804	3.58584	10
305	315	0.00257	14.52637	10
306	316	0.00010	10.54778	10
307	317	0.00010	23.51670	10
308	318	0.00010	5.22335	10
309	319	0.00010	7.02945	10
310	320	0.00010	5.54986	10
311	321	0.00010	2.43139	10
312	322	0.00010	11.30178	10
313	323	0.00010	19.04449	10
314	324	0.00010	1.34572	10
315	325	0.00010	13.43025	10
316	326	0.00010	14.73131	10
317	327	0.00010	0.35019	10
318	328	0.00010	0.11074	10
319	329	0.00010	1.17522	10
320	330	0.00010	17.60846	10
321	331	0.00010	24.20050	10
322	332	0.00010	25.78056	10
323	333	0.00010	23.61662	10
324	334	0.00010	14.84561	10
325	335	0.00010	999.00000	10
326	336	0.00010	999.00000	10
327	337	0.00010	999.00000	10
328	338	0.00010	999.00000	10
329	339	0.00010	9.17616	10
330	340	0.00010	8.78356	10
331	341	0.00010	8.27117	10
332	342	0.00010	9.21587	10
333	343	0.00010	186.07290	10
334	344	0.00010	143.75637	10
335	345	0.00010	82.63724	10
336	346	0.00010	155.10053	10
337	347	0.00010	127.33641	10
338	348	0.00010	26.34269	10
339	349	0.00010	30.07036	10
340	350	0.00010	19.16247	10
341	351	0.00010	4.85164	10
342	352	0.00010	4.05161	10
343	353	0.00010	15.33106	10
344	354	0.00010	18.33207	10
345	355	0.00010	17.44424	10
346	356	0.00080	22.50081	10
347	357	0.00144	3.53574	10
348	358	0.00125	1.68025	10
349	359	0.00435	2.64249	10
350	360	0.00432	2.13001	10
351	361	0.00124	1.62125	10
352	362	0.00088	1.08678	10
353	363	0.02538	2.34045	10
354	364	0.02042	1.93816	10
355	365	0.00092	1.25492	10
356	366	0.00756	1.65731	10
357	367	0.00420	1.97265	10
358	368	0.00473	1.45960	10
359	369	0.00010	0.41505	10
360	370	0.00010	0.24794	10
361	371	0.00010	0.50850	10
362	372	0.00010	0.34437	10
363	373	0.00010	0.27446	10
364	374	0.00010	0.25508	10
365	375	0.00010	0.27870	10
